building_id,dataset,building_type,metric,value,mean_actual,n_windows
Bear_assembly_Angel,BDG-2,commercial,cvrmse,0.2585432529449463,471.1126403808594,358
Bear_assembly_Beatrice,BDG-2,commercial,cvrmse,0.5173740983009338,42.99738693237305,724
Bear_assembly_Danial,BDG-2,commercial,cvrmse,0.10652759671211243,160.90548706054688,358
Bear_assembly_Diana,BDG-2,commercial,cvrmse,0.34721845388412476,0.8576714992523193,358
Bear_assembly_Genia,BDG-2,commercial,cvrmse,0.21744312345981598,263.7848205566406,724
Bear_assembly_Harry,BDG-2,commercial,cvrmse,0.36174049973487854,17.49002456665039,358
Bear_assembly_Jose,BDG-2,commercial,cvrmse,0.12205516546964645,258.0723571777344,724
Bear_assembly_Roxy,BDG-2,commercial,cvrmse,0.701038122177124,17.174842834472656,724
Bear_assembly_Ruby,BDG-2,commercial,cvrmse,0.10846853256225586,69.42938995361328,724
Bear_education_Alfredo,BDG-2,commercial,cvrmse,0.4075464904308319,0.18151037395000458,724
Bear_education_Alvaro,BDG-2,commercial,cvrmse,0.060442227870225906,419.90606689453125,724
Bear_education_Arnold,BDG-2,commercial,cvrmse,0.6927414536476135,0.5585451722145081,724
Bear_education_Augusta,BDG-2,commercial,cvrmse,0.25547564029693604,115.35000610351562,724
Bear_education_Austin,BDG-2,commercial,cvrmse,0.40093785524368286,21.09602165222168,724
Bear_education_Babara,BDG-2,commercial,cvrmse,0.06566721200942993,374.62432861328125,724
Bear_education_Benita,BDG-2,commercial,cvrmse,0.04590342193841934,521.9968872070312,724
Bear_education_Benjamin,BDG-2,commercial,cvrmse,0.5722233653068542,1.0812991857528687,358
Bear_education_Bob,BDG-2,commercial,cvrmse,0.20910929143428802,128.70396423339844,724
Bear_education_Bonita,BDG-2,commercial,cvrmse,0.4855329990386963,0.1915164589881897,724
Bear_education_Bulah,BDG-2,commercial,cvrmse,0.056377895176410675,1334.9393310546875,724
Bear_education_Carlo,BDG-2,commercial,cvrmse,0.42767512798309326,3.9573185443878174,358
Bear_education_Chad,BDG-2,commercial,cvrmse,0.07947856932878494,1003.3435668945312,724
Bear_education_Chana,BDG-2,commercial,cvrmse,0.15422503650188446,21.418455123901367,724
Bear_education_Chun,BDG-2,commercial,cvrmse,0.1305544525384903,101.34169006347656,724
Bear_education_Clint,BDG-2,commercial,cvrmse,0.12650664150714874,56.8123893737793,724
Bear_education_Curtis,BDG-2,commercial,cvrmse,0.0910220593214035,69.04743957519531,724
Bear_education_Danna,BDG-2,commercial,cvrmse,0.30696192383766174,103.26565551757812,724
Bear_education_Darrell,BDG-2,commercial,cvrmse,0.4797569811344147,39.17181396484375,724
Bear_education_Deena,BDG-2,commercial,cvrmse,0.6793648600578308,8.570472717285156,724
Bear_education_Derek,BDG-2,commercial,cvrmse,0.6818662285804749,184.26446533203125,724
Bear_education_Destiny,BDG-2,commercial,cvrmse,0.20977701246738434,112.75078582763672,358
Bear_education_Elise,BDG-2,commercial,cvrmse,0.27267375588417053,145.561767578125,724
Bear_education_Fannie,BDG-2,commercial,cvrmse,0.09219667315483093,436.4977722167969,724
Bear_education_Gavin,BDG-2,commercial,cvrmse,0.06570224463939667,90.0797119140625,724
Bear_education_Herb,BDG-2,commercial,cvrmse,0.24077661335468292,12.927227973937988,724
Bear_education_Herman,BDG-2,commercial,cvrmse,0.36078864336013794,0.28519248962402344,724
Bear_education_Holly,BDG-2,commercial,cvrmse,0.33506283164024353,1.2442386150360107,724
Bear_education_Irene,BDG-2,commercial,cvrmse,0.3993476629257202,88.96099853515625,724
Bear_education_Iris,BDG-2,commercial,cvrmse,0.2838675081729889,45.50922393798828,724
Bear_education_Katy,BDG-2,commercial,cvrmse,0.19584734737873077,124.68230438232422,724
Bear_education_Lashanda,BDG-2,commercial,cvrmse,0.2096661478281021,74.12354278564453,724
Bear_education_Laurette,BDG-2,commercial,cvrmse,0.05939137190580368,50.94800567626953,724
Bear_education_Leonel,BDG-2,commercial,cvrmse,0.40229955315589905,119.04076385498047,724
Bear_education_Lewis,BDG-2,commercial,cvrmse,0.24948294460773468,23.52007293701172,724
Bear_education_Lidia,BDG-2,commercial,cvrmse,0.2888614237308502,12.814207077026367,724
Bear_education_Lila,BDG-2,commercial,cvrmse,0.0718320831656456,214.5517578125,724
Bear_education_Liliana,BDG-2,commercial,cvrmse,0.059770334511995316,467.41864013671875,358
Bear_education_Lorie,BDG-2,commercial,cvrmse,0.06750396639108658,401.4078063964844,724
Bear_education_Mara,BDG-2,commercial,cvrmse,0.04424571245908737,509.414306640625,724
Bear_education_Marie,BDG-2,commercial,cvrmse,0.308379203081131,23.761871337890625,724
Bear_education_Marsha,BDG-2,commercial,cvrmse,0.15941473841667175,88.05345916748047,724
Bear_education_Marta,BDG-2,commercial,cvrmse,0.2799887955188751,42.01968765258789,724
Bear_education_Maryjane,BDG-2,commercial,cvrmse,0.12306586652994156,330.82000732421875,724
Bear_education_Merrill,BDG-2,commercial,cvrmse,0.27141067385673523,22.139787673950195,358
Bear_education_Millie,BDG-2,commercial,cvrmse,0.12894392013549805,3.4350483417510986,724
Bear_education_Nanette,BDG-2,commercial,cvrmse,0.175303116440773,113.58599853515625,358
Bear_education_Oscar,BDG-2,commercial,cvrmse,0.22671106457710266,11.717812538146973,724
Bear_education_Owen,BDG-2,commercial,cvrmse,0.16883355379104614,149.95533752441406,724
Bear_education_Paola,BDG-2,commercial,cvrmse,0.26737743616104126,149.52281188964844,724
Bear_education_Patricia,BDG-2,commercial,cvrmse,0.05793924629688263,633.5635375976562,724
Bear_education_Pattie,BDG-2,commercial,cvrmse,0.08392307907342911,173.43177795410156,724
Bear_education_Rebecca,BDG-2,commercial,cvrmse,0.0482478030025959,782.13427734375,724
Bear_education_Sandy,BDG-2,commercial,cvrmse,0.16917537152767181,6.705957412719727,724
Bear_education_Santos,BDG-2,commercial,cvrmse,0.7836438417434692,8.594917297363281,724
Bear_education_Sharon,BDG-2,commercial,cvrmse,0.07142569124698639,112.30770111083984,724
Bear_education_Shelley,BDG-2,commercial,cvrmse,0.15358781814575195,162.6243133544922,724
Bear_education_Tara,BDG-2,commercial,cvrmse,0.27980637550354004,3.3994574546813965,724
Bear_education_Thuy,BDG-2,commercial,cvrmse,0.1828656643629074,230.9322509765625,724
Bear_education_Val,BDG-2,commercial,cvrmse,0.06793317198753357,374.45098876953125,724
Bear_education_Wade,BDG-2,commercial,cvrmse,0.264331579208374,54.035797119140625,724
Bear_education_Wilton,BDG-2,commercial,cvrmse,0.06149021536111832,1566.0810546875,724
Bear_education_Wm,BDG-2,commercial,cvrmse,0.13233822584152222,50.36476516723633,724
Bear_education_Yuri,BDG-2,commercial,cvrmse,0.4081316888332367,17.985137939453125,724
Bear_education_Yvette,BDG-2,commercial,cvrmse,0.299294114112854,10.993597030639648,724
Bear_education_Zandra,BDG-2,commercial,cvrmse,0.04055732861161232,981.1455078125,724
Bear_lodging_Dannie,BDG-2,commercial,cvrmse,0.23518913984298706,8.687925338745117,724
Bear_lodging_Erick,BDG-2,commercial,cvrmse,0.124300517141819,48.47105026245117,724
Bear_lodging_Esperanza,BDG-2,commercial,cvrmse,0.14772717654705048,28.975730895996094,358
Bear_lodging_Evan,BDG-2,commercial,cvrmse,0.08823472261428833,175.89662170410156,724
Bear_parking_Bridget,BDG-2,commercial,cvrmse,0.30299869179725647,16.703784942626953,358
Bear_parking_Bruce,BDG-2,commercial,cvrmse,0.06511197984218597,42.13602066040039,724
Bear_parking_Gordon,BDG-2,commercial,cvrmse,0.014204706996679306,27.76262664794922,724
Bear_public_Arlean,BDG-2,commercial,cvrmse,0.2017979919910431,163.82025146484375,358
Bear_public_Jocelyn,BDG-2,commercial,cvrmse,0.15098734200000763,48.615177154541016,724
Bear_public_Lowell,BDG-2,commercial,cvrmse,0.1015436127781868,205.64866638183594,724
Bear_public_Orville,BDG-2,commercial,cvrmse,0.24102047085762024,37.39371871948242,724
Bear_public_Rayna,BDG-2,commercial,cvrmse,0.32233768701553345,111.28591918945312,724
Bear_public_Valorie,BDG-2,commercial,cvrmse,0.3226284980773926,195.00946044921875,724
Bear_science_Alison,BDG-2,commercial,cvrmse,0.045132238417863846,103.69091796875,724
Bear_science_Eleanor,BDG-2,commercial,cvrmse,0.1913653016090393,36.4182014465332,724
Bear_utility_Sidney,BDG-2,commercial,cvrmse,0.0348680354654789,52.22809982299805,724
Fox_assembly_Adrianne,BDG-2,commercial,cvrmse,0.29857486486434937,233.17100524902344,724
Fox_assembly_Audrey,BDG-2,commercial,cvrmse,0.21138156950473785,13.034924507141113,724
Fox_assembly_Boyce,BDG-2,commercial,cvrmse,78139703296.0,345.1589050292969,724
Fox_assembly_Bradley,BDG-2,commercial,cvrmse,19136925696.0,158.3174285888672,724
Fox_assembly_Carlos,BDG-2,commercial,cvrmse,0.22943031787872314,112.60237884521484,724
Fox_assembly_Cathy,BDG-2,commercial,cvrmse,0.13626457750797272,57.384971618652344,724
Fox_assembly_Cecelia,BDG-2,commercial,cvrmse,0.165819451212883,16.84462547302246,724
Fox_assembly_Christie,BDG-2,commercial,cvrmse,0.4197048246860504,20.873815536499023,724
Fox_assembly_Cindy,BDG-2,commercial,cvrmse,0.12918005883693695,49.44368362426758,724
Fox_assembly_Dixie,BDG-2,commercial,cvrmse,0.5915728211402893,73.30764770507812,724
Fox_assembly_Emma,BDG-2,commercial,cvrmse,0.14056594669818878,171.02792358398438,724
Fox_assembly_Gary,BDG-2,commercial,cvrmse,0.08217006921768188,91.8833999633789,724
Fox_assembly_Jerrod,BDG-2,commercial,cvrmse,3.507016181945801,2.557431936264038,724
Fox_assembly_Johnnie,BDG-2,commercial,cvrmse,106.79084014892578,336.354736328125,724
Fox_assembly_Kathie,BDG-2,commercial,cvrmse,0.4973982572555542,12.48863697052002,724
Fox_assembly_Lakeisha,BDG-2,commercial,cvrmse,0.4234978258609772,17.72138786315918,724
Fox_assembly_Leeanne,BDG-2,commercial,cvrmse,0.1902836114168167,18.27269744873047,724
Fox_assembly_Renna,BDG-2,commercial,cvrmse,0.05460197851061821,376.24847412109375,724
Fox_assembly_Sheldon,BDG-2,commercial,cvrmse,0.11782249063253403,99.42620849609375,724
Fox_assembly_Terrell,BDG-2,commercial,cvrmse,0.3060082793235779,49.31959533691406,724
Fox_assembly_Tony,BDG-2,commercial,cvrmse,0.16193856298923492,81.96187591552734,724
Fox_education_Andre,BDG-2,commercial,cvrmse,0.07077613472938538,454.4602966308594,724
Fox_education_Ashli,BDG-2,commercial,cvrmse,0.14465849101543427,28.927305221557617,724
Fox_education_Burton,BDG-2,commercial,cvrmse,0.19422444701194763,47.81435775756836,724
Fox_education_Carleen,BDG-2,commercial,cvrmse,0.1736128032207489,105.99573516845703,724
Fox_education_Charles,BDG-2,commercial,cvrmse,0.21377874910831451,15.875493049621582,724
Fox_education_Claire,BDG-2,commercial,cvrmse,0.2640867233276367,60.79774475097656,724
Fox_education_Claude,BDG-2,commercial,cvrmse,0.03237040340900421,972.388671875,724
Fox_education_Cynthia,BDG-2,commercial,cvrmse,0.1392861008644104,210.1257781982422,724
Fox_education_Delma,BDG-2,commercial,cvrmse,0.43606290221214294,92.1851577758789,724
Fox_education_Dewayne,BDG-2,commercial,cvrmse,0.23491501808166504,77.6397705078125,724
Fox_education_Dominique,BDG-2,commercial,cvrmse,0.057320475578308105,184.53233337402344,724
Fox_education_Eddy,BDG-2,commercial,cvrmse,0.1891716718673706,296.05340576171875,724
Fox_education_Eldon,BDG-2,commercial,cvrmse,0.03993256762623787,195.51524353027344,724
Fox_education_Elizabeth,BDG-2,commercial,cvrmse,0.11331679672002792,490.2446594238281,359
Fox_education_Elois,BDG-2,commercial,cvrmse,0.26549097895622253,11.24744987487793,724
Fox_education_Elvira,BDG-2,commercial,cvrmse,0.15496554970741272,189.0741729736328,724
Fox_education_Etta,BDG-2,commercial,cvrmse,0.10772278159856796,198.88380432128906,724
Fox_education_Gayla,BDG-2,commercial,cvrmse,0.22033080458641052,61.403507232666016,359
Fox_education_Geoffrey,BDG-2,commercial,cvrmse,0.07611308991909027,120.09916687011719,724
Fox_education_Gloria,BDG-2,commercial,cvrmse,0.042844973504543304,660.7455444335938,724
Fox_education_Henrietta,BDG-2,commercial,cvrmse,0.3271074891090393,29.60343360900879,724
Fox_education_Heriberto,BDG-2,commercial,cvrmse,0.21799810230731964,37.12324142456055,724
Fox_education_Jaclyn,BDG-2,commercial,cvrmse,0.08501438796520233,193.17013549804688,724
Fox_education_Janina,BDG-2,commercial,cvrmse,0.15755167603492737,126.23015594482422,724
Fox_education_John,BDG-2,commercial,cvrmse,0.215219646692276,56.487911224365234,724
Fox_education_Kendrick,BDG-2,commercial,cvrmse,0.5341653227806091,12.424074172973633,724
Fox_education_Kim,BDG-2,commercial,cvrmse,0.18808923661708832,57.649261474609375,724
Fox_education_Kris,BDG-2,commercial,cvrmse,0.2783483564853668,107.38774108886719,724
Fox_education_Leona,BDG-2,commercial,cvrmse,0.11425080895423889,271.6045227050781,724
Fox_education_Leota,BDG-2,commercial,cvrmse,0.12399949133396149,216.10963439941406,724
Fox_education_Lesley,BDG-2,commercial,cvrmse,0.42806702852249146,13.360386848449707,724
Fox_education_Lilly,BDG-2,commercial,cvrmse,0.1299542784690857,186.85862731933594,724
Fox_education_Long,BDG-2,commercial,cvrmse,0.19333569705486298,147.21871948242188,724
Fox_education_Louie,BDG-2,commercial,cvrmse,0.13947494328022003,77.73657989501953,724
Fox_education_Marcelina,BDG-2,commercial,cvrmse,1.0284430980682373,4.102189540863037,724
Fox_education_Maris,BDG-2,commercial,cvrmse,0.15025730431079865,22.496028900146484,358
Fox_education_Marlana,BDG-2,commercial,cvrmse,0.0780944973230362,177.96336364746094,724
Fox_education_Maureen,BDG-2,commercial,cvrmse,0.07488877326250076,292.6009521484375,358
Fox_education_Melinda,BDG-2,commercial,cvrmse,0.07446832954883575,407.6931457519531,724
Fox_education_Melvin,BDG-2,commercial,cvrmse,0.321487158536911,60.593929290771484,724
Fox_education_Miguelina,BDG-2,commercial,cvrmse,0.3157200217247009,94.29196166992188,724
