building_id,dataset,building_type,metric,value,mean_actual,n_windows
Bear_assembly_Angel,BDG-2,commercial,cvrmse,0.1890678107738495,471.1126403808594,358
Bear_assembly_Beatrice,BDG-2,commercial,cvrmse,0.32791537046432495,42.99738693237305,724
Bear_assembly_Danial,BDG-2,commercial,cvrmse,0.11489315330982208,160.90548706054688,358
Bear_assembly_Diana,BDG-2,commercial,cvrmse,0.348609983921051,0.8576714992523193,358
Bear_assembly_Genia,BDG-2,commercial,cvrmse,0.20612207055091858,263.7848205566406,724
Bear_assembly_Harry,BDG-2,commercial,cvrmse,0.3397766947746277,17.49002456665039,358
Bear_assembly_Jose,BDG-2,commercial,cvrmse,0.11882348358631134,258.0723571777344,724
Bear_assembly_Roxy,BDG-2,commercial,cvrmse,0.6372723579406738,17.174842834472656,724
Bear_assembly_Ruby,BDG-2,commercial,cvrmse,0.11765645444393158,69.42938995361328,724
Bear_education_Alfredo,BDG-2,commercial,cvrmse,0.4171096086502075,0.18151037395000458,724
Bear_education_Alvaro,BDG-2,commercial,cvrmse,0.06956678628921509,419.90606689453125,724
Bear_education_Arnold,BDG-2,commercial,cvrmse,0.7123206853866577,0.5585451722145081,724
Bear_education_Augusta,BDG-2,commercial,cvrmse,0.33840206265449524,115.35000610351562,724
Bear_education_Austin,BDG-2,commercial,cvrmse,0.4909873902797699,21.09602165222168,724
Bear_education_Babara,BDG-2,commercial,cvrmse,0.07676364481449127,374.62432861328125,724
Bear_education_Benita,BDG-2,commercial,cvrmse,0.06321649998426437,521.9968872070312,724
Bear_education_Benjamin,BDG-2,commercial,cvrmse,0.5402068495750427,1.0812991857528687,358
Bear_education_Bob,BDG-2,commercial,cvrmse,0.2512894868850708,128.70396423339844,724
Bear_education_Bonita,BDG-2,commercial,cvrmse,0.5611165165901184,0.1915164589881897,724
Bear_education_Bulah,BDG-2,commercial,cvrmse,0.2013956755399704,1334.9393310546875,724
Bear_education_Carlo,BDG-2,commercial,cvrmse,0.44632771611213684,3.9573185443878174,358
Bear_education_Chad,BDG-2,commercial,cvrmse,0.14455658197402954,1003.3435668945312,724
Bear_education_Chana,BDG-2,commercial,cvrmse,0.16245850920677185,21.418455123901367,724
Bear_education_Chun,BDG-2,commercial,cvrmse,0.1455959528684616,101.34169006347656,724
Bear_education_Clint,BDG-2,commercial,cvrmse,0.13205580413341522,56.8123893737793,724
Bear_education_Curtis,BDG-2,commercial,cvrmse,0.1060083657503128,69.04743957519531,724
Bear_education_Danna,BDG-2,commercial,cvrmse,0.3445163071155548,103.26565551757812,724
Bear_education_Darrell,BDG-2,commercial,cvrmse,0.4435218572616577,39.17181396484375,724
Bear_education_Deena,BDG-2,commercial,cvrmse,0.25337907671928406,8.570472717285156,724
Bear_education_Derek,BDG-2,commercial,cvrmse,0.11079192906618118,184.26446533203125,724
Bear_education_Destiny,BDG-2,commercial,cvrmse,0.20089352130889893,112.75078582763672,358
Bear_education_Elise,BDG-2,commercial,cvrmse,0.22839543223381042,145.561767578125,724
Bear_education_Fannie,BDG-2,commercial,cvrmse,0.11261751502752304,436.4977722167969,724
Bear_education_Gavin,BDG-2,commercial,cvrmse,0.07304036617279053,90.0797119140625,724
Bear_education_Herb,BDG-2,commercial,cvrmse,0.2762546241283417,12.927227973937988,724
Bear_education_Herman,BDG-2,commercial,cvrmse,0.379932165145874,0.28519248962402344,724
Bear_education_Holly,BDG-2,commercial,cvrmse,0.330844521522522,1.2442386150360107,724
